agent_id,agent_type,spawn_node,final_node,evacuated,evacuation_time_s,reached_exit,travelled_distance_px,cumulative_smoke,stalled_time_s,reroute_count,deadlock_escape_count,stranded_reason
0,normal,F3_T2,EX_L,True,13.46,EX_L,720.578,0.021,5.607,3,0,
1,elderly,F3_T2,EX_L,True,21.332,EX_L,718.135,0.098,11.521,6,0,
2,normal,F3_T2,EX_L,True,13.366,EX_L,720.051,0.021,5.159,3,0,
3,normal,F3_B2,EX_L,True,10.918,EX_L,722.35,0.021,2.836,2,0,
4,normal,F3_B2,EX_L,True,12.306,EX_L,797.182,0.021,3.1,3,0,
5,normal,F3_T3,EX_L,True,14.226,EX_L,844.905,0.021,3.621,5,0,
6,normal,F3_T3,EX_L,True,13.599,EX_L,844.525,0.021,4.04,5,0,
7,normal,F3_T3,EX_L,True,13.102,EX_L,839.268,0.021,4.302,5,1,
8,normal,F3_B3,EX_L,True,13.46,EX_L,846.822,0.021,4.22,3,0,
9,normal,F3_B3,EX_L,True,13.63,EX_L,844.446,0.021,4.299,5,0,
10,normal,F3_T4,EX_C,False,,,1500.395,2.346,165.793,5,0,no_path
11,elderly,F3_T4,EX_C,False,,,1113.37,9.079,160.977,3,0,no_path
12,normal,F3_T4,EX_C,False,,,1432.444,1.71,166.256,2,0,no_path
13,normal,F3_B4,EX_C,False,,,1436.632,2.054,165.719,2,0,no_path
14,child,F3_B4,EX_L,True,29.401,EX_L,1760.69,2.753,3.869,4,0,
15,normal,F3_T5,EX_L,True,27.037,EX_L,1956.308,0.528,0.379,2,0,
16,normal,F3_T5,EX_C,False,,,1383.237,1.167,165.923,3,0,no_path
17,normal,F3_T5,EX_C,False,,,1306.783,2.094,165.93,2,0,no_path
18,elderly,F3_B5,EX_C,False,,,992.287,7.006,165.339,2,0,no_path
19,normal,F3_B5,EX_C,False,,,1482.369,2.012,166.56,3,0,no_path
20,normal,F3_T6,EX_L,True,24.546,EX_L,1937.961,0.185,0.0,3,0,
21,elderly,F3_T6,EX_C,False,,,872.759,6.435,168.343,2,0,no_path
22,normal,F3_T6,EX_C,False,,,1052.827,0.013,167.636,3,0,no_path
23,normal,F3_B6,EX_C,False,,,1356.952,0.97,165.684,2,0,no_path
24,elderly,F3_B6,EX_C,False,,,802.69,5.958,169.438,3,0,no_path
25,child,F3_T7,EX_C,False,,,1414.086,5.141,162.781,1,0,no_path
26,normal,F3_T7,EX_C,False,,,1480.355,5.35,158.853,2,0,no_path
27,normal,F3_T7,EX_C,False,,,1489.362,5.772,158.029,2,0,no_path
28,normal,F3_B7,EX_C,False,,,1486.432,5.722,158.501,2,0,no_path
29,normal,F3_B7,EX_R,True,32.83,EX_R,2187.087,3.706,0.0,4,0,
30,elderly,F3_T8,EX_R,True,38.79,EX_R,1502.297,0.0,12.921,4,0,
31,normal,F3_T8,EX_C,False,,,1358.46,4.4,162.086,2,0,no_path
32,normal,F3_T8,EX_C,False,,,1426.268,5.58,160.374,1,0,no_path
33,normal,F3_B8,EX_R,True,20.711,EX_R,1098.307,0.0,8.342,3,0,
34,normal,F3_B8,EX_R,True,20.22,EX_R,1099.671,0.0,8.306,3,0,
35,normal,F3_T9,EX_R,True,19.241,EX_R,903.039,0.0,10.233,2,0,
36,elderly,F3_T9,EX_R,True,44.492,EX_R,1695.995,0.0,13.403,4,0,
37,normal,F3_T9,EX_R,True,19.634,EX_R,904.68,0.0,10.467,4,0,
38,elderly,F3_B9,EX_R,True,46.501,EX_R,1937.809,0.0,8.952,5,0,
39,normal,F3_B9,EX_R,True,20.774,EX_R,968.765,0.0,10.058,3,0,
40,child,F3_T10,EX_R,True,20.814,EX_R,779.384,0.0,12.071,4,0,
41,child,F3_T10,EX_R,True,21.073,EX_R,781.245,0.0,12.024,4,0,
42,normal,F3_T10,EX_R,True,17.211,EX_R,853.638,0.0,8.742,1,0,
43,normal,F3_B10,EX_R,True,17.275,EX_R,856.158,0.0,8.837,1,0,
44,normal,F3_B10,EX_R,True,18.754,EX_R,851.269,0.0,10.025,2,0,
45,normal,F2_T2,EX_L,True,6.634,EX_L,498.008,0.0,0.0,4,0,
46,normal,F2_T2,EX_L,True,6.569,EX_L,495.795,0.0,0.0,4,0,
47,normal,F2_B2,EX_L,True,6.569,EX_L,495.795,0.0,0.0,4,0,
48,normal,F2_B2,EX_L,True,7.732,EX_L,565.747,0.0,0.357,5,0,
49,child,F2_T3,EX_L,True,13.07,EX_L,613.867,1.628,3.216,6,0,
